"date","fund","return"
1990-01-31,"HFRI Macro: Systematic Diversified Index",0.0203
1990-02-28,"HFRI Macro: Systematic Diversified Index",-0.0051
1990-03-31,"HFRI Macro: Systematic Diversified Index",0.0298
1990-04-30,"HFRI Macro: Systematic Diversified Index",-0.0089
1990-05-31,"HFRI Macro: Systematic Diversified Index",0.0315
1990-06-30,"HFRI Macro: Systematic Diversified Index",0.0182
1990-07-31,"HFRI Macro: Systematic Diversified Index",0.0097
1990-08-31,"HFRI Macro: Systematic Diversified Index",0.0056
1990-09-30,"HFRI Macro: Systematic Diversified Index",-0.0225
1990-10-31,"HFRI Macro: Systematic Diversified Index",-0.0041
1990-11-30,"HFRI Macro: Systematic Diversified Index",0.0229
1990-12-31,"HFRI Macro: Systematic Diversified Index",0.0318
1991-01-31,"HFRI Macro: Systematic Diversified Index",0.0181
1991-02-28,"HFRI Macro: Systematic Diversified Index",0.0414
1991-03-31,"HFRI Macro: Systematic Diversified Index",0.0189
1991-04-30,"HFRI Macro: Systematic Diversified Index",0.0046
1991-05-31,"HFRI Macro: Systematic Diversified Index",0.0191
1991-06-30,"HFRI Macro: Systematic Diversified Index",-0.0129
1991-07-31,"HFRI Macro: Systematic Diversified Index",0.0302
1991-08-31,"HFRI Macro: Systematic Diversified Index",0.0308
1991-09-30,"HFRI Macro: Systematic Diversified Index",-0.0025
1991-10-31,"HFRI Macro: Systematic Diversified Index",0.0238
1991-11-30,"HFRI Macro: Systematic Diversified Index",-0.014
1991-12-31,"HFRI Macro: Systematic Diversified Index",0.0549
1992-01-31,"HFRI Macro: Systematic Diversified Index",0.0093
1992-02-29,"HFRI Macro: Systematic Diversified Index",-0.0012
1992-03-31,"HFRI Macro: Systematic Diversified Index",-0.0035
1992-04-30,"HFRI Macro: Systematic Diversified Index",-0.0063
1992-05-31,"HFRI Macro: Systematic Diversified Index",0.0179
1992-06-30,"HFRI Macro: Systematic Diversified Index",-0.0049
1992-07-31,"HFRI Macro: Systematic Diversified Index",0.0178
1992-08-31,"HFRI Macro: Systematic Diversified Index",-0.0189
1992-09-30,"HFRI Macro: Systematic Diversified Index",-0.0032
1992-10-31,"HFRI Macro: Systematic Diversified Index",0.0178
1992-11-30,"HFRI Macro: Systematic Diversified Index",0.0319
1992-12-31,"HFRI Macro: Systematic Diversified Index",0.0193
1993-01-31,"HFRI Macro: Systematic Diversified Index",0.0116
1993-02-28,"HFRI Macro: Systematic Diversified Index",0.0138
1993-03-31,"HFRI Macro: Systematic Diversified Index",0.0345
1993-04-30,"HFRI Macro: Systematic Diversified Index",0.0264
1993-05-31,"HFRI Macro: Systematic Diversified Index",0.0427
1993-06-30,"HFRI Macro: Systematic Diversified Index",0.0079
1993-07-31,"HFRI Macro: Systematic Diversified Index",0.0179
